Ticks: 78492911, Used Memory (KiB): 401312
Ticks: 58963023, Used Memory (KiB): 389924
Ticks: 60291566, Used Memory (KiB): 396752
Ticks: 59629727, Used Memory (KiB): 398372
Ticks: 58586564, Used Memory (KiB): 391120
Ticks: 59553098, Used Memory (KiB): 381976
Ticks: 60468473, Used Memory (KiB): 393472
Ticks: 59344738, Used Memory (KiB): 386220
Ticks: 59082547, Used Memory (KiB): 389376
Ticks: 59925868, Used Memory (KiB): 393036
Ticks: 70882348, Used Memory (KiB): 395808
Ticks: 127017749, Used Memory (KiB): 406208
Ticks: 59084232, Used Memory (KiB): 397756
Ticks: 58479408, Used Memory (KiB): 397140
Ticks: 59250458, Used Memory (KiB): 392800
Ticks: 59061063, Used Memory (KiB): 393748
Ticks: 59061964, Used Memory (KiB): 393756
Ticks: 59656001, Used Memory (KiB): 392544
Ticks: 59928069, Used Memory (KiB): 386168
Ticks: 59974388, Used Memory (KiB): 386208
Ticks: 59609098, Used Memory (KiB): 388100
Ticks: 74719033, Used Memory (KiB): 409192
Ticks: 60066398, Used Memory (KiB): 377320
Ticks: 59201693, Used Memory (KiB): 389864
Ticks: 60090266, Used Memory (KiB): 396084
Ticks: 59517758, Used Memory (KiB): 391488
Ticks: 58943398, Used Memory (KiB): 393184
Ticks: 60506433, Used Memory (KiB): 391608
Ticks: 59724553, Used Memory (KiB): 386096
Ticks: 59675163, Used Memory (KiB): 390596
Ticks: 58563373, Used Memory (KiB): 384608
Ticks: 57349188, Used Memory (KiB): 397508
Ticks: 74619686, Used Memory (KiB): 404088
Ticks: 59818122, Used Memory (KiB): 383432
Ticks: 59916795, Used Memory (KiB): 384276
Ticks: 58908486, Used Memory (KiB): 388968
Ticks: 118633758, Used Memory (KiB): 391236
Ticks: 59545842, Used Memory (KiB): 394420
Ticks: 57702100, Used Memory (KiB): 394204
Ticks: 59437550, Used Memory (KiB): 402332
