Ticks: 36265142, Used Memory (KiB): 395720
Ticks: 35837703, Used Memory (KiB): 395252
Ticks: 36135275, Used Memory (KiB): 397300
Ticks: 35946932, Used Memory (KiB): 396744
Ticks: 50463664, Used Memory (KiB): 407320
Ticks: 37345801, Used Memory (KiB): 400372
Ticks: 40693399, Used Memory (KiB): 403776
Ticks: 33896501, Used Memory (KiB): 385976
Ticks: 36349942, Used Memory (KiB): 399536
Ticks: 36211698, Used Memory (KiB): 387132
Ticks: 35267167, Used Memory (KiB): 400720
Ticks: 34742225, Used Memory (KiB): 396568
Ticks: 36282200, Used Memory (KiB): 393980
Ticks: 35059022, Used Memory (KiB): 407532
Ticks: 34404405, Used Memory (KiB): 396968
Ticks: 35479371, Used Memory (KiB): 400780
Ticks: 35293321, Used Memory (KiB): 391940
Ticks: 35605527, Used Memory (KiB): 392112
Ticks: 34359620, Used Memory (KiB): 404936
Ticks: 35099536, Used Memory (KiB): 399820
Ticks: 36279900, Used Memory (KiB): 398452
Ticks: 35321517, Used Memory (KiB): 396700
Ticks: 34967384, Used Memory (KiB): 405752
Ticks: 35874939, Used Memory (KiB): 396364
Ticks: 34166187, Used Memory (KiB): 408852
Ticks: 36831902, Used Memory (KiB): 402808
Ticks: 36802793, Used Memory (KiB): 404660
Ticks: 35491656, Used Memory (KiB): 400760
Ticks: 35292267, Used Memory (KiB): 402888
Ticks: 36200906, Used Memory (KiB): 404976
Ticks: 37741963, Used Memory (KiB): 391436
Ticks: 37239317, Used Memory (KiB): 394484
Ticks: 35738324, Used Memory (KiB): 391604
Ticks: 37753404, Used Memory (KiB): 389580
Ticks: 36932711, Used Memory (KiB): 401304
Ticks: 40243557, Used Memory (KiB): 395536
Ticks: 36497954, Used Memory (KiB): 404516
Ticks: 36555335, Used Memory (KiB): 405148
Ticks: 36434638, Used Memory (KiB): 391612
Ticks: 36529677, Used Memory (KiB): 396328
