Ticks: 51562183, Used Memory (KiB): 399752
Ticks: 51192640, Used Memory (KiB): 400516
Ticks: 51128753, Used Memory (KiB): 395444
Ticks: 52409281, Used Memory (KiB): 404200
Ticks: 50896268, Used Memory (KiB): 415224
Ticks: 70232540, Used Memory (KiB): 406788
Ticks: 53450434, Used Memory (KiB): 398784
Ticks: 50750146, Used Memory (KiB): 405872
Ticks: 52070734, Used Memory (KiB): 411216
Ticks: 49414274, Used Memory (KiB): 396116
Ticks: 49421710, Used Memory (KiB): 409820
Ticks: 50337295, Used Memory (KiB): 402216
Ticks: 49879932, Used Memory (KiB): 420776
Ticks: 51842588, Used Memory (KiB): 401532
Ticks: 49891957, Used Memory (KiB): 409552
Ticks: 53035491, Used Memory (KiB): 396888
Ticks: 50462191, Used Memory (KiB): 411688
Ticks: 50896805, Used Memory (KiB): 423972
Ticks: 50087073, Used Memory (KiB): 403392
Ticks: 52732891, Used Memory (KiB): 414500
Ticks: 74462011, Used Memory (KiB): 413452
Ticks: 50943800, Used Memory (KiB): 408856
Ticks: 50472581, Used Memory (KiB): 415484
Ticks: 50136900, Used Memory (KiB): 407520
Ticks: 49238292, Used Memory (KiB): 413108
Ticks: 50143053, Used Memory (KiB): 411896
Ticks: 49723240, Used Memory (KiB): 408392
Ticks: 51121468, Used Memory (KiB): 418712
Ticks: 50519842, Used Memory (KiB): 410380
Ticks: 49881937, Used Memory (KiB): 418532
Ticks: 49794684, Used Memory (KiB): 410324
Ticks: 50067531, Used Memory (KiB): 411472
Ticks: 50882353, Used Memory (KiB): 403160
Ticks: 49908487, Used Memory (KiB): 410168
Ticks: 53455416, Used Memory (KiB): 416448
Ticks: 50863332, Used Memory (KiB): 406536
Ticks: 50882286, Used Memory (KiB): 411856
Ticks: 53006442, Used Memory (KiB): 397164
Ticks: 50803514, Used Memory (KiB): 420332
Ticks: 55467360, Used Memory (KiB): 395724
