Ticks: 60098789, Used Memory (KiB): 383488
Ticks: 59027018, Used Memory (KiB): 396268
Ticks: 88832752, Used Memory (KiB): 384020
Ticks: 58614638, Used Memory (KiB): 381752
Ticks: 76227711, Used Memory (KiB): 388412
Ticks: 72050818, Used Memory (KiB): 395152
Ticks: 58298868, Used Memory (KiB): 396044
Ticks: 58517971, Used Memory (KiB): 392680
Ticks: 70900229, Used Memory (KiB): 390236
Ticks: 59285835, Used Memory (KiB): 388312
Ticks: 58768021, Used Memory (KiB): 385192
Ticks: 59582146, Used Memory (KiB): 382936
Ticks: 59564560, Used Memory (KiB): 392288
Ticks: 59348758, Used Memory (KiB): 395376
Ticks: 59266225, Used Memory (KiB): 397376
Ticks: 59814855, Used Memory (KiB): 395068
Ticks: 58293749, Used Memory (KiB): 385696
Ticks: 58869767, Used Memory (KiB): 400040
Ticks: 60573384, Used Memory (KiB): 386612
Ticks: 84713977, Used Memory (KiB): 402500
Ticks: 59449139, Used Memory (KiB): 383488
Ticks: 75645085, Used Memory (KiB): 384468
Ticks: 59317826, Used Memory (KiB): 384032
Ticks: 56917293, Used Memory (KiB): 386368
Ticks: 59282514, Used Memory (KiB): 389768
Ticks: 59497554, Used Memory (KiB): 390452
Ticks: 59767971, Used Memory (KiB): 396112
Ticks: 59323575, Used Memory (KiB): 392172
Ticks: 60133418, Used Memory (KiB): 390728
Ticks: 58607516, Used Memory (KiB): 386216
Ticks: 57898064, Used Memory (KiB): 385496
Ticks: 58852510, Used Memory (KiB): 392676
Ticks: 59501592, Used Memory (KiB): 393308
Ticks: 66728815, Used Memory (KiB): 394636
Ticks: 61590682, Used Memory (KiB): 385108
Ticks: 60030380, Used Memory (KiB): 385132
Ticks: 74149562, Used Memory (KiB): 402024
Ticks: 58644978, Used Memory (KiB): 389160
Ticks: 58893920, Used Memory (KiB): 388164
Ticks: 59007412, Used Memory (KiB): 381668
