Ticks: 57204276, Used Memory (KiB): 419768
Ticks: 57903234, Used Memory (KiB): 439148
Ticks: 62261540, Used Memory (KiB): 427768
Ticks: 59033276, Used Memory (KiB): 426892
Ticks: 57901814, Used Memory (KiB): 430796
Ticks: 63255944, Used Memory (KiB): 423188
Ticks: 64206022, Used Memory (KiB): 430004
Ticks: 56162175, Used Memory (KiB): 424172
Ticks: 57013500, Used Memory (KiB): 423688
Ticks: 57098665, Used Memory (KiB): 425388
Ticks: 57619094, Used Memory (KiB): 432816
Ticks: 57027693, Used Memory (KiB): 428964
Ticks: 56993952, Used Memory (KiB): 422528
Ticks: 57158537, Used Memory (KiB): 430860
Ticks: 57664566, Used Memory (KiB): 423072
Ticks: 57243763, Used Memory (KiB): 418500
Ticks: 57473295, Used Memory (KiB): 441640
Ticks: 58243460, Used Memory (KiB): 425240
Ticks: 58245584, Used Memory (KiB): 419384
Ticks: 56889616, Used Memory (KiB): 427716
Ticks: 57724920, Used Memory (KiB): 439396
Ticks: 56968236, Used Memory (KiB): 434772
Ticks: 57110149, Used Memory (KiB): 427108
Ticks: 57172180, Used Memory (KiB): 427864
Ticks: 57213862, Used Memory (KiB): 426840
Ticks: 58874255, Used Memory (KiB): 436116
Ticks: 57809147, Used Memory (KiB): 433756
Ticks: 57989535, Used Memory (KiB): 422636
Ticks: 68151235, Used Memory (KiB): 435692
Ticks: 60713020, Used Memory (KiB): 419196
Ticks: 61471530, Used Memory (KiB): 426516
Ticks: 75150652, Used Memory (KiB): 425948
Ticks: 139530703, Used Memory (KiB): 424308
Ticks: 62589541, Used Memory (KiB): 422656
Ticks: 78691108, Used Memory (KiB): 436068
Ticks: 63157252, Used Memory (KiB): 422928
Ticks: 59245835, Used Memory (KiB): 432620
Ticks: 61112950, Used Memory (KiB): 418596
Ticks: 59711780, Used Memory (KiB): 429604
Ticks: 61625328, Used Memory (KiB): 427912
