Ticks: 99098010, Used Memory (KiB): 416452
Ticks: 62336501, Used Memory (KiB): 414576
Ticks: 62926962, Used Memory (KiB): 433572
Ticks: 63794867, Used Memory (KiB): 433272
Ticks: 69785514, Used Memory (KiB): 426520
Ticks: 61940399, Used Memory (KiB): 414588
Ticks: 59371269, Used Memory (KiB): 432960
Ticks: 72268864, Used Memory (KiB): 432584
Ticks: 59968983, Used Memory (KiB): 419660
Ticks: 61681150, Used Memory (KiB): 421620
Ticks: 59736103, Used Memory (KiB): 425028
Ticks: 87309735, Used Memory (KiB): 430540
Ticks: 60763024, Used Memory (KiB): 432740
Ticks: 60011697, Used Memory (KiB): 420972
Ticks: 61235428, Used Memory (KiB): 425428
Ticks: 58892039, Used Memory (KiB): 425512
Ticks: 59787746, Used Memory (KiB): 436408
Ticks: 59207442, Used Memory (KiB): 425216
Ticks: 59478168, Used Memory (KiB): 426640
Ticks: 62070468, Used Memory (KiB): 425628
Ticks: 60658062, Used Memory (KiB): 422004
Ticks: 59666782, Used Memory (KiB): 424800
Ticks: 61204232, Used Memory (KiB): 425932
Ticks: 73278483, Used Memory (KiB): 423564
Ticks: 62286141, Used Memory (KiB): 432064
Ticks: 72441228, Used Memory (KiB): 433500
Ticks: 74010441, Used Memory (KiB): 441472
Ticks: 58441693, Used Memory (KiB): 424712
Ticks: 62407633, Used Memory (KiB): 424128
Ticks: 60413455, Used Memory (KiB): 429092
Ticks: 59141864, Used Memory (KiB): 423476
Ticks: 62770262, Used Memory (KiB): 422876
Ticks: 60283839, Used Memory (KiB): 431452
Ticks: 73311963, Used Memory (KiB): 428168
Ticks: 59814369, Used Memory (KiB): 426844
Ticks: 59265436, Used Memory (KiB): 418140
Ticks: 60403923, Used Memory (KiB): 434000
Ticks: 61012391, Used Memory (KiB): 431968
Ticks: 60186285, Used Memory (KiB): 429948
Ticks: 61892103, Used Memory (KiB): 436900
