Ticks: 76112608, Used Memory (KiB): 426012
Ticks: 62130071, Used Memory (KiB): 428812
Ticks: 76162023, Used Memory (KiB): 430560
Ticks: 62490698, Used Memory (KiB): 415172
Ticks: 80418190, Used Memory (KiB): 429716
Ticks: 59549526, Used Memory (KiB): 437600
Ticks: 62971245, Used Memory (KiB): 424720
Ticks: 87947749, Used Memory (KiB): 428020
Ticks: 60006263, Used Memory (KiB): 426844
Ticks: 59539038, Used Memory (KiB): 422536
Ticks: 61186804, Used Memory (KiB): 436412
Ticks: 62754863, Used Memory (KiB): 426152
Ticks: 61989536, Used Memory (KiB): 416836
Ticks: 62724062, Used Memory (KiB): 431116
Ticks: 62440950, Used Memory (KiB): 442140
Ticks: 60807257, Used Memory (KiB): 414816
Ticks: 61759647, Used Memory (KiB): 422368
Ticks: 62122644, Used Memory (KiB): 424740
Ticks: 62099023, Used Memory (KiB): 435632
Ticks: 62611006, Used Memory (KiB): 432460
Ticks: 62332994, Used Memory (KiB): 427028
Ticks: 62708653, Used Memory (KiB): 434972
Ticks: 61897297, Used Memory (KiB): 420916
Ticks: 61448102, Used Memory (KiB): 421396
Ticks: 62978536, Used Memory (KiB): 425220
Ticks: 72948594, Used Memory (KiB): 434076
Ticks: 60348106, Used Memory (KiB): 425876
Ticks: 62263783, Used Memory (KiB): 419876
Ticks: 73487950, Used Memory (KiB): 427888
Ticks: 59033339, Used Memory (KiB): 418876
Ticks: 62052809, Used Memory (KiB): 426112
Ticks: 61796735, Used Memory (KiB): 437852
Ticks: 73047956, Used Memory (KiB): 425336
Ticks: 62168445, Used Memory (KiB): 425824
Ticks: 62715350, Used Memory (KiB): 426448
Ticks: 62387729, Used Memory (KiB): 419536
Ticks: 75042044, Used Memory (KiB): 445308
Ticks: 61799470, Used Memory (KiB): 431232
Ticks: 73660705, Used Memory (KiB): 426136
Ticks: 61853807, Used Memory (KiB): 426256
