Ticks: 39693305, Used Memory (KiB): 431860
Ticks: 38510806, Used Memory (KiB): 436160
Ticks: 53785658, Used Memory (KiB): 448668
Ticks: 38653324, Used Memory (KiB): 430524
Ticks: 35982454, Used Memory (KiB): 433732
Ticks: 36612935, Used Memory (KiB): 432224
Ticks: 36614009, Used Memory (KiB): 445228
Ticks: 36896140, Used Memory (KiB): 431728
Ticks: 36553517, Used Memory (KiB): 426924
Ticks: 39294676, Used Memory (KiB): 434556
Ticks: 44904266, Used Memory (KiB): 440784
Ticks: 36802656, Used Memory (KiB): 438036
Ticks: 33468636, Used Memory (KiB): 431568
Ticks: 37124018, Used Memory (KiB): 433772
Ticks: 33687932, Used Memory (KiB): 439052
Ticks: 33355598, Used Memory (KiB): 436504
Ticks: 33547289, Used Memory (KiB): 433244
Ticks: 35966074, Used Memory (KiB): 439912
Ticks: 33603518, Used Memory (KiB): 440264
Ticks: 33352772, Used Memory (KiB): 438048
Ticks: 33758815, Used Memory (KiB): 430936
Ticks: 33642385, Used Memory (KiB): 442880
Ticks: 33580526, Used Memory (KiB): 423656
Ticks: 33893698, Used Memory (KiB): 440872
Ticks: 33704887, Used Memory (KiB): 421472
Ticks: 33559075, Used Memory (KiB): 436280
Ticks: 33742647, Used Memory (KiB): 433456
Ticks: 33831634, Used Memory (KiB): 437276
Ticks: 33379420, Used Memory (KiB): 434204
Ticks: 34199419, Used Memory (KiB): 423824
Ticks: 33500602, Used Memory (KiB): 436252
Ticks: 35206347, Used Memory (KiB): 433416
Ticks: 66995194, Used Memory (KiB): 441392
Ticks: 49179467, Used Memory (KiB): 438560
Ticks: 36033218, Used Memory (KiB): 431700
Ticks: 35476321, Used Memory (KiB): 418896
Ticks: 33548098, Used Memory (KiB): 439508
Ticks: 35398574, Used Memory (KiB): 437880
Ticks: 36371813, Used Memory (KiB): 433832
Ticks: 33898940, Used Memory (KiB): 433984
