Ticks: 64220713, Used Memory (KiB): 433908
Ticks: 63848323, Used Memory (KiB): 433628
Ticks: 91070301, Used Memory (KiB): 438016
Ticks: 70231450, Used Memory (KiB): 431876
Ticks: 62719870, Used Memory (KiB): 426080
Ticks: 63044047, Used Memory (KiB): 430336
Ticks: 62301444, Used Memory (KiB): 429084
Ticks: 62718162, Used Memory (KiB): 417916
Ticks: 62485220, Used Memory (KiB): 415396
Ticks: 80223614, Used Memory (KiB): 433776
Ticks: 77080514, Used Memory (KiB): 429360
Ticks: 62801502, Used Memory (KiB): 424856
Ticks: 62733662, Used Memory (KiB): 433064
Ticks: 62725963, Used Memory (KiB): 434892
Ticks: 62271334, Used Memory (KiB): 423604
Ticks: 65121260, Used Memory (KiB): 440316
Ticks: 62447469, Used Memory (KiB): 432084
Ticks: 63440141, Used Memory (KiB): 426752
Ticks: 63746262, Used Memory (KiB): 423696
Ticks: 87376976, Used Memory (KiB): 421056
Ticks: 62647600, Used Memory (KiB): 429568
Ticks: 63234569, Used Memory (KiB): 422752
Ticks: 73483380, Used Memory (KiB): 426124
Ticks: 73516325, Used Memory (KiB): 439344
Ticks: 62302496, Used Memory (KiB): 429820
Ticks: 61893625, Used Memory (KiB): 433420
Ticks: 65571219, Used Memory (KiB): 432312
Ticks: 62590872, Used Memory (KiB): 421440
Ticks: 62569159, Used Memory (KiB): 427428
Ticks: 61865657, Used Memory (KiB): 431516
Ticks: 62557144, Used Memory (KiB): 437612
Ticks: 63611990, Used Memory (KiB): 428072
Ticks: 63545674, Used Memory (KiB): 428792
Ticks: 79934230, Used Memory (KiB): 436640
Ticks: 64960471, Used Memory (KiB): 425572
Ticks: 64974418, Used Memory (KiB): 429596
Ticks: 64548176, Used Memory (KiB): 419640
Ticks: 61074148, Used Memory (KiB): 417416
Ticks: 64181860, Used Memory (KiB): 424988
Ticks: 104017084, Used Memory (KiB): 426960
