Ticks: 45770349, Used Memory (KiB): 438380
Ticks: 34962872, Used Memory (KiB): 428548
Ticks: 35213504, Used Memory (KiB): 423724
Ticks: 34519612, Used Memory (KiB): 438552
Ticks: 36858531, Used Memory (KiB): 431524
Ticks: 36225494, Used Memory (KiB): 436160
Ticks: 37342928, Used Memory (KiB): 429224
Ticks: 36171167, Used Memory (KiB): 422400
Ticks: 35488769, Used Memory (KiB): 426616
Ticks: 37333681, Used Memory (KiB): 413564
Ticks: 34271458, Used Memory (KiB): 425440
Ticks: 33681255, Used Memory (KiB): 434084
Ticks: 33344472, Used Memory (KiB): 424336
Ticks: 34827996, Used Memory (KiB): 422068
Ticks: 36556806, Used Memory (KiB): 434012
Ticks: 33879523, Used Memory (KiB): 434468
Ticks: 34296379, Used Memory (KiB): 438888
Ticks: 51176512, Used Memory (KiB): 449884
Ticks: 31801998, Used Memory (KiB): 438700
Ticks: 33396788, Used Memory (KiB): 429716
Ticks: 33637447, Used Memory (KiB): 430136
Ticks: 35539599, Used Memory (KiB): 428672
Ticks: 33803033, Used Memory (KiB): 438500
Ticks: 34192751, Used Memory (KiB): 420960
Ticks: 35289303, Used Memory (KiB): 442312
Ticks: 57437051, Used Memory (KiB): 441860
Ticks: 36002201, Used Memory (KiB): 431380
Ticks: 35061318, Used Memory (KiB): 436860
Ticks: 33712183, Used Memory (KiB): 430712
Ticks: 34576440, Used Memory (KiB): 421640
Ticks: 35796592, Used Memory (KiB): 436512
Ticks: 35118752, Used Memory (KiB): 436972
Ticks: 44173311, Used Memory (KiB): 441124
Ticks: 36589852, Used Memory (KiB): 432664
Ticks: 34962132, Used Memory (KiB): 429872
Ticks: 33204345, Used Memory (KiB): 431844
Ticks: 33472223, Used Memory (KiB): 423884
Ticks: 34626979, Used Memory (KiB): 431936
Ticks: 36209424, Used Memory (KiB): 442480
Ticks: 45603633, Used Memory (KiB): 441628
