Ticks: 34174099, Used Memory (KiB): 434388
Ticks: 36162540, Used Memory (KiB): 434760
Ticks: 34315418, Used Memory (KiB): 428924
Ticks: 36298910, Used Memory (KiB): 427700
Ticks: 38823714, Used Memory (KiB): 441984
Ticks: 36247796, Used Memory (KiB): 435500
Ticks: 39588839, Used Memory (KiB): 424908
Ticks: 35465615, Used Memory (KiB): 436112
Ticks: 35613483, Used Memory (KiB): 440788
Ticks: 42223553, Used Memory (KiB): 429632
Ticks: 33523010, Used Memory (KiB): 438552
Ticks: 32930107, Used Memory (KiB): 434300
Ticks: 35685439, Used Memory (KiB): 430016
Ticks: 46646757, Used Memory (KiB): 435796
Ticks: 35747389, Used Memory (KiB): 433032
Ticks: 36252669, Used Memory (KiB): 440096
Ticks: 36041781, Used Memory (KiB): 419456
Ticks: 35352621, Used Memory (KiB): 449572
Ticks: 35231530, Used Memory (KiB): 435232
Ticks: 35513519, Used Memory (KiB): 430172
Ticks: 35607316, Used Memory (KiB): 430356
Ticks: 33522144, Used Memory (KiB): 434164
Ticks: 35241067, Used Memory (KiB): 441516
Ticks: 33490611, Used Memory (KiB): 438268
Ticks: 32933353, Used Memory (KiB): 437148
Ticks: 33370689, Used Memory (KiB): 429708
Ticks: 33124275, Used Memory (KiB): 437848
Ticks: 32860068, Used Memory (KiB): 425224
Ticks: 33453761, Used Memory (KiB): 445492
Ticks: 32473949, Used Memory (KiB): 431848
Ticks: 35593784, Used Memory (KiB): 427948
Ticks: 32806718, Used Memory (KiB): 424768
Ticks: 33827725, Used Memory (KiB): 429512
Ticks: 42494964, Used Memory (KiB): 445352
Ticks: 33265498, Used Memory (KiB): 428824
Ticks: 34794467, Used Memory (KiB): 429284
Ticks: 32296056, Used Memory (KiB): 427020
Ticks: 33924688, Used Memory (KiB): 437940
Ticks: 57757804, Used Memory (KiB): 434868
Ticks: 33770193, Used Memory (KiB): 429996
