Ticks: 44989026, Used Memory (KiB): 655872
Ticks: 35687065, Used Memory (KiB): 642352
Ticks: 35125690, Used Memory (KiB): 632928
Ticks: 38976318, Used Memory (KiB): 639620
Ticks: 34063380, Used Memory (KiB): 641996
Ticks: 35595536, Used Memory (KiB): 642924
Ticks: 39575649, Used Memory (KiB): 646904
Ticks: 35177386, Used Memory (KiB): 638576
Ticks: 35489273, Used Memory (KiB): 643708
Ticks: 36824410, Used Memory (KiB): 637220
Ticks: 40462886, Used Memory (KiB): 643584
Ticks: 36866057, Used Memory (KiB): 642316
Ticks: 35574953, Used Memory (KiB): 650032
Ticks: 35060459, Used Memory (KiB): 652588
Ticks: 36140306, Used Memory (KiB): 649668
Ticks: 37872272, Used Memory (KiB): 640664
Ticks: 56559152, Used Memory (KiB): 653284
Ticks: 38640833, Used Memory (KiB): 644952
Ticks: 36131532, Used Memory (KiB): 655152
Ticks: 44284280, Used Memory (KiB): 658908
Ticks: 36157854, Used Memory (KiB): 643060
Ticks: 35905947, Used Memory (KiB): 644552
Ticks: 36609035, Used Memory (KiB): 637356
Ticks: 38847276, Used Memory (KiB): 639944
Ticks: 34770980, Used Memory (KiB): 636916
Ticks: 35317137, Used Memory (KiB): 636384
Ticks: 47501178, Used Memory (KiB): 641480
Ticks: 36901687, Used Memory (KiB): 647756
Ticks: 34744244, Used Memory (KiB): 645464
Ticks: 39303578, Used Memory (KiB): 646420
