Ticks: 62292019, Used Memory (KiB): 652460
Ticks: 49511834, Used Memory (KiB): 640500
Ticks: 35576271, Used Memory (KiB): 645460
Ticks: 64132099, Used Memory (KiB): 663120
Ticks: 38177768, Used Memory (KiB): 642532
Ticks: 33128728, Used Memory (KiB): 643608
Ticks: 36497612, Used Memory (KiB): 640260
Ticks: 33380882, Used Memory (KiB): 636460
Ticks: 42204429, Used Memory (KiB): 645276
Ticks: 56353016, Used Memory (KiB): 655296
Ticks: 35782674, Used Memory (KiB): 639252
Ticks: 36895199, Used Memory (KiB): 651564
Ticks: 34863985, Used Memory (KiB): 635832
Ticks: 35083507, Used Memory (KiB): 654528
Ticks: 34598687, Used Memory (KiB): 637128
Ticks: 65469241, Used Memory (KiB): 659728
Ticks: 39850602, Used Memory (KiB): 630556
Ticks: 38042158, Used Memory (KiB): 637508
Ticks: 52141199, Used Memory (KiB): 645092
Ticks: 44619690, Used Memory (KiB): 650412
Ticks: 56123903, Used Memory (KiB): 652596
Ticks: 49721409, Used Memory (KiB): 663904
Ticks: 35236963, Used Memory (KiB): 653640
Ticks: 62663164, Used Memory (KiB): 651744
Ticks: 35439930, Used Memory (KiB): 644624
Ticks: 36619722, Used Memory (KiB): 638460
Ticks: 35407984, Used Memory (KiB): 650276
Ticks: 35397568, Used Memory (KiB): 643916
Ticks: 57615977, Used Memory (KiB): 647616
Ticks: 36913568, Used Memory (KiB): 636136
