Ticks: 67032273, Used Memory (KiB): 646500
Ticks: 50141851, Used Memory (KiB): 660664
Ticks: 46945989, Used Memory (KiB): 639188
Ticks: 52645977, Used Memory (KiB): 658524
Ticks: 50437070, Used Memory (KiB): 652068
Ticks: 68294063, Used Memory (KiB): 664548
Ticks: 86467259, Used Memory (KiB): 655900
Ticks: 49682939, Used Memory (KiB): 666444
Ticks: 47789646, Used Memory (KiB): 668832
Ticks: 47521798, Used Memory (KiB): 652348
Ticks: 45933558, Used Memory (KiB): 656668
Ticks: 65627625, Used Memory (KiB): 660892
Ticks: 47036303, Used Memory (KiB): 646220
Ticks: 48530307, Used Memory (KiB): 661464
Ticks: 53601829, Used Memory (KiB): 652548
Ticks: 46507027, Used Memory (KiB): 653104
Ticks: 45859337, Used Memory (KiB): 657908
Ticks: 48904817, Used Memory (KiB): 648516
Ticks: 50931236, Used Memory (KiB): 661680
Ticks: 49021209, Used Memory (KiB): 655148
Ticks: 47426826, Used Memory (KiB): 644508
Ticks: 48264900, Used Memory (KiB): 653768
Ticks: 50168853, Used Memory (KiB): 661060
Ticks: 61630780, Used Memory (KiB): 654588
Ticks: 48165041, Used Memory (KiB): 647556
Ticks: 71834351, Used Memory (KiB): 671412
Ticks: 49912137, Used Memory (KiB): 651268
Ticks: 50582142, Used Memory (KiB): 658264
Ticks: 48985284, Used Memory (KiB): 677600
Ticks: 50439132, Used Memory (KiB): 669108
