Ticks: 23395550, Used Memory (KiB): 2555884
Ticks: 18423034, Used Memory (KiB): 2567808
Ticks: 20787392, Used Memory (KiB): 2580624
Ticks: 18461504, Used Memory (KiB): 2591760
Ticks: 21836804, Used Memory (KiB): 2596136
Ticks: 21092777, Used Memory (KiB): 2596264
Ticks: 19019527, Used Memory (KiB): 2609600
Ticks: 23418937, Used Memory (KiB): 2612716
Ticks: 17775449, Used Memory (KiB): 2612760
Ticks: 20643783, Used Memory (KiB): 2629192
Ticks: 18953236, Used Memory (KiB): 2619944
Ticks: 20558950, Used Memory (KiB): 2623644
Ticks: 18363886, Used Memory (KiB): 2631440
Ticks: 21336759, Used Memory (KiB): 2628872
Ticks: 19510147, Used Memory (KiB): 2641164
Ticks: 19313842, Used Memory (KiB): 2628772
Ticks: 21531403, Used Memory (KiB): 2629052
Ticks: 18235224, Used Memory (KiB): 2633728
Ticks: 22084040, Used Memory (KiB): 2639116
Ticks: 20922909, Used Memory (KiB): 2630448
Ticks: 20557977, Used Memory (KiB): 2632900
Ticks: 19013026, Used Memory (KiB): 2642932
Ticks: 21040598, Used Memory (KiB): 2634288
Ticks: 19975961, Used Memory (KiB): 2642292
Ticks: 22152036, Used Memory (KiB): 2644248
Ticks: 23093837, Used Memory (KiB): 2645296
Ticks: 19611650, Used Memory (KiB): 2642976
Ticks: 23763885, Used Memory (KiB): 2631392
Ticks: 18431167, Used Memory (KiB): 2648756
Ticks: 23426916, Used Memory (KiB): 2647976
Ticks: 20127781, Used Memory (KiB): 2644980
Ticks: 23310270, Used Memory (KiB): 2653604
Ticks: 18940058, Used Memory (KiB): 2654324
Ticks: 19890239, Used Memory (KiB): 2653648
Ticks: 21523820, Used Memory (KiB): 2646228
Ticks: 21343938, Used Memory (KiB): 2656340
Ticks: 18429203, Used Memory (KiB): 2654252
Ticks: 21960044, Used Memory (KiB): 2651968
Ticks: 21944402, Used Memory (KiB): 2659400
Ticks: 21861311, Used Memory (KiB): 2653148
