Ticks: 64947700, Used Memory (KiB): 2532868
Ticks: 64522927, Used Memory (KiB): 2562580
Ticks: 64298514, Used Memory (KiB): 2509796
Ticks: 66416280, Used Memory (KiB): 2504004
Ticks: 63943723, Used Memory (KiB): 2637368
Ticks: 64704731, Used Memory (KiB): 2502736
Ticks: 66157423, Used Memory (KiB): 2510580
Ticks: 63355050, Used Memory (KiB): 2508380
Ticks: 62655520, Used Memory (KiB): 2515376
Ticks: 64435844, Used Memory (KiB): 2514544
Ticks: 63836555, Used Memory (KiB): 2516024
Ticks: 63863061, Used Memory (KiB): 2515852
Ticks: 64451516, Used Memory (KiB): 2519152
Ticks: 64250833, Used Memory (KiB): 2504140
Ticks: 64282406, Used Memory (KiB): 2507096
Ticks: 64271229, Used Memory (KiB): 2507920
Ticks: 63916638, Used Memory (KiB): 2508688
Ticks: 64207211, Used Memory (KiB): 2512184
Ticks: 64665505, Used Memory (KiB): 2515408
Ticks: 62123475, Used Memory (KiB): 2498140
Ticks: 61841567, Used Memory (KiB): 2504596
Ticks: 61578089, Used Memory (KiB): 2515088
Ticks: 61603513, Used Memory (KiB): 2506384
Ticks: 62154521, Used Memory (KiB): 2513604
Ticks: 62167323, Used Memory (KiB): 2517176
Ticks: 63006736, Used Memory (KiB): 2515716
Ticks: 62633065, Used Memory (KiB): 2507948
Ticks: 62352542, Used Memory (KiB): 2500876
Ticks: 63018813, Used Memory (KiB): 2518732
Ticks: 62203226, Used Memory (KiB): 2511112
Ticks: 62719559, Used Memory (KiB): 2521556
Ticks: 61717004, Used Memory (KiB): 2515600
Ticks: 63908961, Used Memory (KiB): 2507368
Ticks: 65019952, Used Memory (KiB): 2504168
Ticks: 64481132, Used Memory (KiB): 2503892
Ticks: 65848408, Used Memory (KiB): 2510252
Ticks: 64127919, Used Memory (KiB): 2499960
Ticks: 64281707, Used Memory (KiB): 2503352
Ticks: 65172444, Used Memory (KiB): 2507036
Ticks: 66376707, Used Memory (KiB): 2502676
