Ticks: 21812954, Used Memory (KiB): 2533664
Ticks: 23052815, Used Memory (KiB): 2552164
Ticks: 20337663, Used Memory (KiB): 2565780
Ticks: 23097037, Used Memory (KiB): 2581300
Ticks: 18055054, Used Memory (KiB): 2583804
Ticks: 22267688, Used Memory (KiB): 2593280
Ticks: 20799273, Used Memory (KiB): 2615908
Ticks: 20308437, Used Memory (KiB): 2604140
Ticks: 20921688, Used Memory (KiB): 2600704
Ticks: 20759721, Used Memory (KiB): 2601168
Ticks: 20682928, Used Memory (KiB): 2604404
Ticks: 18274428, Used Memory (KiB): 2616012
Ticks: 20547970, Used Memory (KiB): 2617048
Ticks: 21545011, Used Memory (KiB): 2616524
Ticks: 23011071, Used Memory (KiB): 2615504
Ticks: 21971580, Used Memory (KiB): 2616796
Ticks: 21932689, Used Memory (KiB): 2612036
Ticks: 20974995, Used Memory (KiB): 2625140
Ticks: 21298011, Used Memory (KiB): 2619388
Ticks: 24510105, Used Memory (KiB): 2625136
Ticks: 21748369, Used Memory (KiB): 2627028
Ticks: 22658856, Used Memory (KiB): 2635688
Ticks: 19024436, Used Memory (KiB): 2624136
Ticks: 20738152, Used Memory (KiB): 2627444
Ticks: 20778315, Used Memory (KiB): 2633160
Ticks: 20870750, Used Memory (KiB): 2627340
Ticks: 22493659, Used Memory (KiB): 2631064
Ticks: 21093771, Used Memory (KiB): 2630848
Ticks: 22723888, Used Memory (KiB): 2635552
Ticks: 21875266, Used Memory (KiB): 2637476
Ticks: 24018627, Used Memory (KiB): 2630964
Ticks: 21546390, Used Memory (KiB): 2635600
Ticks: 23198219, Used Memory (KiB): 2641348
Ticks: 20701654, Used Memory (KiB): 2645476
Ticks: 22775605, Used Memory (KiB): 2655820
Ticks: 21106589, Used Memory (KiB): 2641692
Ticks: 21181700, Used Memory (KiB): 2639732
Ticks: 18695309, Used Memory (KiB): 2640532
Ticks: 22305443, Used Memory (KiB): 2644024
Ticks: 20583851, Used Memory (KiB): 2650696
