Ticks: 5427166, Used Memory (KiB): 2316144
Ticks: 9103798, Used Memory (KiB): 2320724
Ticks: 7604710, Used Memory (KiB): 2326184
Ticks: 6143146, Used Memory (KiB): 2327076
Ticks: 6156836, Used Memory (KiB): 2329024
Ticks: 5927255, Used Memory (KiB): 2331892
Ticks: 5652949, Used Memory (KiB): 2335948
Ticks: 4814159, Used Memory (KiB): 2334588
Ticks: 5310247, Used Memory (KiB): 2339936
Ticks: 6435058, Used Memory (KiB): 2339496
Ticks: 5167834, Used Memory (KiB): 2341716
Ticks: 5077034, Used Memory (KiB): 2342104
Ticks: 5125326, Used Memory (KiB): 2341064
Ticks: 5163224, Used Memory (KiB): 2343744
Ticks: 5257366, Used Memory (KiB): 2341960
Ticks: 4845611, Used Memory (KiB): 2343640
Ticks: 4887587, Used Memory (KiB): 2343552
Ticks: 4786652, Used Memory (KiB): 2342888
Ticks: 5706159, Used Memory (KiB): 2344596
Ticks: 5142717, Used Memory (KiB): 2345672
Ticks: 5221538, Used Memory (KiB): 2346016
Ticks: 5190202, Used Memory (KiB): 2344420
Ticks: 5008480, Used Memory (KiB): 2345480
Ticks: 5299530, Used Memory (KiB): 2344912
Ticks: 5087208, Used Memory (KiB): 2345876
Ticks: 5127963, Used Memory (KiB): 2348528
Ticks: 4995640, Used Memory (KiB): 2346480
Ticks: 4910449, Used Memory (KiB): 2345636
Ticks: 5476713, Used Memory (KiB): 2344244
Ticks: 5454223, Used Memory (KiB): 2348916
Ticks: 5179921, Used Memory (KiB): 2349252
Ticks: 5047564, Used Memory (KiB): 2349280
Ticks: 4971385, Used Memory (KiB): 2350696
Ticks: 5454588, Used Memory (KiB): 2350884
Ticks: 5238511, Used Memory (KiB): 2350456
Ticks: 5241665, Used Memory (KiB): 2354264
Ticks: 5124092, Used Memory (KiB): 2351396
Ticks: 5313836, Used Memory (KiB): 2353760
Ticks: 5114992, Used Memory (KiB): 2353788
Ticks: 5284582, Used Memory (KiB): 2353728
