Ticks: 7698493, Used Memory (KiB): 2095000
Ticks: 7617974, Used Memory (KiB): 2108336
Ticks: 6530715, Used Memory (KiB): 2113988
Ticks: 6078869, Used Memory (KiB): 2115616
Ticks: 5334345, Used Memory (KiB): 2118076
Ticks: 5067772, Used Memory (KiB): 2119212
Ticks: 5315033, Used Memory (KiB): 2119552
Ticks: 5199141, Used Memory (KiB): 2121468
Ticks: 5247936, Used Memory (KiB): 2126664
Ticks: 4725377, Used Memory (KiB): 2129108
Ticks: 5188706, Used Memory (KiB): 2123868
Ticks: 5224573, Used Memory (KiB): 2124412
Ticks: 5159765, Used Memory (KiB): 2127368
Ticks: 5011990, Used Memory (KiB): 2123640
Ticks: 5310413, Used Memory (KiB): 2123048
Ticks: 5229347, Used Memory (KiB): 2124332
Ticks: 5030002, Used Memory (KiB): 2125952
Ticks: 5007084, Used Memory (KiB): 2127612
Ticks: 5068814, Used Memory (KiB): 2126320
Ticks: 4850020, Used Memory (KiB): 2128772
Ticks: 5189910, Used Memory (KiB): 2129244
Ticks: 5260111, Used Memory (KiB): 2127744
Ticks: 4944740, Used Memory (KiB): 2129464
Ticks: 5060953, Used Memory (KiB): 2130380
Ticks: 4923667, Used Memory (KiB): 2129084
Ticks: 5196238, Used Memory (KiB): 2129100
Ticks: 5026398, Used Memory (KiB): 2129448
Ticks: 4897459, Used Memory (KiB): 2131352
Ticks: 5350483, Used Memory (KiB): 2129852
Ticks: 4792496, Used Memory (KiB): 2130652
Ticks: 5004272, Used Memory (KiB): 2130792
Ticks: 5169492, Used Memory (KiB): 2133104
Ticks: 5153682, Used Memory (KiB): 2132476
Ticks: 5009647, Used Memory (KiB): 2133108
Ticks: 5252724, Used Memory (KiB): 2139100
Ticks: 4903897, Used Memory (KiB): 2136208
Ticks: 5268082, Used Memory (KiB): 2137276
Ticks: 5030258, Used Memory (KiB): 2137964
Ticks: 5061487, Used Memory (KiB): 2139196
Ticks: 5098737, Used Memory (KiB): 2137084
