Ticks: 61816754, Used Memory (KiB): 2296600
Ticks: 59789706, Used Memory (KiB): 2335780
Ticks: 60838612, Used Memory (KiB): 2296248
Ticks: 61768159, Used Memory (KiB): 2281544
Ticks: 61986089, Used Memory (KiB): 2279228
Ticks: 62908195, Used Memory (KiB): 2296112
Ticks: 62143419, Used Memory (KiB): 2289208
Ticks: 61322400, Used Memory (KiB): 2299212
Ticks: 62736370, Used Memory (KiB): 2293380
Ticks: 60583882, Used Memory (KiB): 2294992
Ticks: 61614999, Used Memory (KiB): 2290252
Ticks: 61501769, Used Memory (KiB): 2283476
Ticks: 61710159, Used Memory (KiB): 2287740
Ticks: 60993049, Used Memory (KiB): 2318300
Ticks: 63297451, Used Memory (KiB): 2301524
Ticks: 60851135, Used Memory (KiB): 2288660
Ticks: 60559054, Used Memory (KiB): 2303260
Ticks: 61519045, Used Memory (KiB): 2282088
Ticks: 60310670, Used Memory (KiB): 2306764
Ticks: 61374435, Used Memory (KiB): 2292552
Ticks: 60105282, Used Memory (KiB): 2341036
Ticks: 60399831, Used Memory (KiB): 2298556
Ticks: 61325467, Used Memory (KiB): 2298368
Ticks: 59320284, Used Memory (KiB): 2299740
Ticks: 61266161, Used Memory (KiB): 2286500
Ticks: 61488028, Used Memory (KiB): 2296012
Ticks: 60823885, Used Memory (KiB): 2287992
Ticks: 62074612, Used Memory (KiB): 2293520
Ticks: 60979536, Used Memory (KiB): 2288116
Ticks: 61932053, Used Memory (KiB): 2291388
Ticks: 62303657, Used Memory (KiB): 2309672
Ticks: 62159934, Used Memory (KiB): 2292244
Ticks: 61844154, Used Memory (KiB): 2291844
Ticks: 61162781, Used Memory (KiB): 2292012
Ticks: 64167871, Used Memory (KiB): 2286828
Ticks: 61625452, Used Memory (KiB): 2292636
Ticks: 61611792, Used Memory (KiB): 2289760
Ticks: 60505234, Used Memory (KiB): 2296004
Ticks: 60793630, Used Memory (KiB): 2300304
Ticks: 61793980, Used Memory (KiB): 2292176
