Ticks: 59370715, Used Memory (KiB): 2325264
Ticks: 57123143, Used Memory (KiB): 2330624
Ticks: 60447182, Used Memory (KiB): 2294032
Ticks: 57423900, Used Memory (KiB): 2319992
Ticks: 59932395, Used Memory (KiB): 2289976
Ticks: 60087049, Used Memory (KiB): 2286888
Ticks: 60051004, Used Memory (KiB): 2312392
Ticks: 59901986, Used Memory (KiB): 2284012
Ticks: 60690008, Used Memory (KiB): 2305696
Ticks: 59833353, Used Memory (KiB): 2316028
Ticks: 60453984, Used Memory (KiB): 2315004
Ticks: 59716975, Used Memory (KiB): 2288924
Ticks: 59291035, Used Memory (KiB): 2329580
Ticks: 59875221, Used Memory (KiB): 2317872
Ticks: 59489026, Used Memory (KiB): 2286028
Ticks: 60200784, Used Memory (KiB): 2309192
Ticks: 59932820, Used Memory (KiB): 2320176
Ticks: 60149153, Used Memory (KiB): 2314780
Ticks: 61599758, Used Memory (KiB): 2281876
Ticks: 60026341, Used Memory (KiB): 2314204
Ticks: 61727035, Used Memory (KiB): 2280860
Ticks: 61715945, Used Memory (KiB): 2280828
Ticks: 59735570, Used Memory (KiB): 2319572
Ticks: 59910092, Used Memory (KiB): 2321400
Ticks: 62597388, Used Memory (KiB): 2290392
Ticks: 59893656, Used Memory (KiB): 2321256
Ticks: 59489220, Used Memory (KiB): 2315320
Ticks: 60526161, Used Memory (KiB): 2301672
Ticks: 61968568, Used Memory (KiB): 2285588
Ticks: 59686324, Used Memory (KiB): 2288312
Ticks: 61829041, Used Memory (KiB): 2301596
Ticks: 60124929, Used Memory (KiB): 2321508
Ticks: 61734811, Used Memory (KiB): 2285824
Ticks: 62269996, Used Memory (KiB): 2281788
Ticks: 59863509, Used Memory (KiB): 2340196
Ticks: 61981678, Used Memory (KiB): 2293400
Ticks: 60363605, Used Memory (KiB): 2320532
Ticks: 59838259, Used Memory (KiB): 2310404
Ticks: 60137642, Used Memory (KiB): 2314912
Ticks: 62560767, Used Memory (KiB): 2315004
