Ticks: 49775262, Used Memory (KiB): 2084764
Ticks: 47248847, Used Memory (KiB): 2090916
Ticks: 48091013, Used Memory (KiB): 2085416
Ticks: 46798686, Used Memory (KiB): 2090920
Ticks: 48651766, Used Memory (KiB): 2086696
Ticks: 46799729, Used Memory (KiB): 2080664
Ticks: 47661574, Used Memory (KiB): 2078688
Ticks: 47218513, Used Memory (KiB): 2083500
Ticks: 46061290, Used Memory (KiB): 2089932
Ticks: 46899212, Used Memory (KiB): 2083988
Ticks: 46294795, Used Memory (KiB): 2090628
Ticks: 49748477, Used Memory (KiB): 2085028
Ticks: 46663954, Used Memory (KiB): 2083964
Ticks: 49146446, Used Memory (KiB): 2084880
Ticks: 46290793, Used Memory (KiB): 2087808
Ticks: 49164773, Used Memory (KiB): 2092468
Ticks: 46272818, Used Memory (KiB): 2088268
Ticks: 47863908, Used Memory (KiB): 2087236
Ticks: 47258838, Used Memory (KiB): 2086128
Ticks: 46259121, Used Memory (KiB): 2088120
Ticks: 47390777, Used Memory (KiB): 2089588
Ticks: 45872938, Used Memory (KiB): 2088584
Ticks: 48125111, Used Memory (KiB): 2078768
Ticks: 45691233, Used Memory (KiB): 2087644
Ticks: 50547808, Used Memory (KiB): 2086996
Ticks: 46728984, Used Memory (KiB): 2090420
Ticks: 47593296, Used Memory (KiB): 2082448
Ticks: 47151299, Used Memory (KiB): 2088856
Ticks: 48990440, Used Memory (KiB): 2082036
Ticks: 46541080, Used Memory (KiB): 2088500
Ticks: 48652032, Used Memory (KiB): 2089428
Ticks: 47189693, Used Memory (KiB): 2087460
Ticks: 48198890, Used Memory (KiB): 2082548
Ticks: 47447762, Used Memory (KiB): 2089488
Ticks: 46060844, Used Memory (KiB): 2088032
Ticks: 46834958, Used Memory (KiB): 2084136
Ticks: 46726624, Used Memory (KiB): 2088480
Ticks: 47257306, Used Memory (KiB): 2085636
Ticks: 46709531, Used Memory (KiB): 2088596
Ticks: 46913087, Used Memory (KiB): 2084504
