Ticks: 40273333, Used Memory (KiB): 2433744
Ticks: 40561357, Used Memory (KiB): 2461732
Ticks: 40244304, Used Memory (KiB): 2502236
Ticks: 40369484, Used Memory (KiB): 2507632
Ticks: 40309723, Used Memory (KiB): 2499908
Ticks: 40302115, Used Memory (KiB): 2491748
Ticks: 40267905, Used Memory (KiB): 2477492
Ticks: 41004331, Used Memory (KiB): 2515296
Ticks: 43577000, Used Memory (KiB): 2501512
Ticks: 42863832, Used Memory (KiB): 2532956
Ticks: 43030080, Used Memory (KiB): 2523560
Ticks: 40240939, Used Memory (KiB): 2536804
Ticks: 40087500, Used Memory (KiB): 2515140
Ticks: 40288444, Used Memory (KiB): 2513656
Ticks: 40375865, Used Memory (KiB): 2530624
Ticks: 40343045, Used Memory (KiB): 2524836
Ticks: 41073876, Used Memory (KiB): 2555900
Ticks: 41220401, Used Memory (KiB): 2546436
Ticks: 44933190, Used Memory (KiB): 2542980
Ticks: 40743049, Used Memory (KiB): 2535732
Ticks: 40911903, Used Memory (KiB): 2535076
Ticks: 44386259, Used Memory (KiB): 2555420
Ticks: 43427973, Used Memory (KiB): 2553784
Ticks: 40285748, Used Memory (KiB): 2570496
Ticks: 40214848, Used Memory (KiB): 2563348
Ticks: 40118415, Used Memory (KiB): 2563060
Ticks: 43033381, Used Memory (KiB): 2541488
Ticks: 40449387, Used Memory (KiB): 2511608
Ticks: 42629980, Used Memory (KiB): 2561692
Ticks: 40220841, Used Memory (KiB): 2530336
Ticks: 42103544, Used Memory (KiB): 2547828
Ticks: 41397432, Used Memory (KiB): 2556380
Ticks: 40734189, Used Memory (KiB): 2579636
Ticks: 41132845, Used Memory (KiB): 2569684
Ticks: 43965403, Used Memory (KiB): 2558132
Ticks: 44358691, Used Memory (KiB): 2578060
Ticks: 40414084, Used Memory (KiB): 2558172
Ticks: 43116668, Used Memory (KiB): 2541264
Ticks: 42745282, Used Memory (KiB): 2533284
Ticks: 40223823, Used Memory (KiB): 2517796
