Ticks: 45649407, Used Memory (KiB): 2087176
Ticks: 45919860, Used Memory (KiB): 2085576
Ticks: 45079132, Used Memory (KiB): 2088932
Ticks: 43911007, Used Memory (KiB): 2087444
Ticks: 46119785, Used Memory (KiB): 2084088
Ticks: 45727119, Used Memory (KiB): 2086008
Ticks: 43509817, Used Memory (KiB): 2083908
Ticks: 44015488, Used Memory (KiB): 2084408
Ticks: 43679704, Used Memory (KiB): 2088784
Ticks: 43401343, Used Memory (KiB): 2085188
Ticks: 43685715, Used Memory (KiB): 2082652
Ticks: 43621534, Used Memory (KiB): 2086428
Ticks: 43500320, Used Memory (KiB): 2085504
Ticks: 43370412, Used Memory (KiB): 2083476
Ticks: 43859590, Used Memory (KiB): 2082300
Ticks: 43758418, Used Memory (KiB): 2084812
Ticks: 43405672, Used Memory (KiB): 2084540
Ticks: 43523786, Used Memory (KiB): 2082172
Ticks: 43200313, Used Memory (KiB): 2083580
Ticks: 43323867, Used Memory (KiB): 2087180
Ticks: 44085481, Used Memory (KiB): 2090988
Ticks: 43682961, Used Memory (KiB): 2089576
Ticks: 43841752, Used Memory (KiB): 2085356
Ticks: 43480706, Used Memory (KiB): 2086708
Ticks: 44188218, Used Memory (KiB): 2088704
Ticks: 44326282, Used Memory (KiB): 2085972
Ticks: 44557055, Used Memory (KiB): 2085488
Ticks: 44178044, Used Memory (KiB): 2081660
Ticks: 44105433, Used Memory (KiB): 2085208
Ticks: 44240972, Used Memory (KiB): 2083876
Ticks: 44201823, Used Memory (KiB): 2085016
Ticks: 44072192, Used Memory (KiB): 2084240
Ticks: 43156447, Used Memory (KiB): 2088140
Ticks: 43217203, Used Memory (KiB): 2089400
Ticks: 43707101, Used Memory (KiB): 2086128
Ticks: 43633761, Used Memory (KiB): 2082360
Ticks: 43878978, Used Memory (KiB): 2085340
Ticks: 43634211, Used Memory (KiB): 2079708
Ticks: 43215323, Used Memory (KiB): 2083944
Ticks: 43194613, Used Memory (KiB): 2082404
