Ticks: 38968148, Used Memory (KiB): 644616
Ticks: 39418866, Used Memory (KiB): 653716
Ticks: 39182841, Used Memory (KiB): 640696
Ticks: 41168063, Used Memory (KiB): 642700
Ticks: 39226606, Used Memory (KiB): 646112
Ticks: 39938360, Used Memory (KiB): 636484
Ticks: 39546719, Used Memory (KiB): 637796
Ticks: 41663750, Used Memory (KiB): 643224
Ticks: 39900819, Used Memory (KiB): 648744
Ticks: 40620799, Used Memory (KiB): 648264
Ticks: 65418765, Used Memory (KiB): 645444
Ticks: 39940123, Used Memory (KiB): 636276
Ticks: 39614837, Used Memory (KiB): 637260
Ticks: 39257422, Used Memory (KiB): 642436
Ticks: 38504768, Used Memory (KiB): 645740
Ticks: 43966821, Used Memory (KiB): 634604
Ticks: 38750103, Used Memory (KiB): 647664
Ticks: 41023208, Used Memory (KiB): 652708
Ticks: 38967340, Used Memory (KiB): 652048
Ticks: 44261707, Used Memory (KiB): 644320
Ticks: 39419886, Used Memory (KiB): 653964
Ticks: 39908412, Used Memory (KiB): 654208
Ticks: 38544997, Used Memory (KiB): 641552
Ticks: 40900366, Used Memory (KiB): 635672
Ticks: 55734992, Used Memory (KiB): 651844
Ticks: 41042792, Used Memory (KiB): 650636
Ticks: 42277744, Used Memory (KiB): 644764
Ticks: 39390563, Used Memory (KiB): 656892
Ticks: 41974227, Used Memory (KiB): 641388
Ticks: 39619255, Used Memory (KiB): 659048
Ticks: 40239778, Used Memory (KiB): 656964
Ticks: 51830095, Used Memory (KiB): 653412
Ticks: 40373297, Used Memory (KiB): 655512
Ticks: 40009777, Used Memory (KiB): 651924
Ticks: 39519162, Used Memory (KiB): 651472
Ticks: 39601017, Used Memory (KiB): 645744
Ticks: 43041377, Used Memory (KiB): 639764
Ticks: 41717584, Used Memory (KiB): 649372
Ticks: 42618473, Used Memory (KiB): 648672
Ticks: 54722099, Used Memory (KiB): 642244
