Ticks: 66495831, Used Memory (KiB): 649300
Ticks: 39900920, Used Memory (KiB): 647576
Ticks: 38572689, Used Memory (KiB): 646380
Ticks: 39123568, Used Memory (KiB): 641292
Ticks: 39118147, Used Memory (KiB): 643992
Ticks: 40128010, Used Memory (KiB): 634596
Ticks: 38727802, Used Memory (KiB): 647520
Ticks: 39279123, Used Memory (KiB): 644580
Ticks: 39338068, Used Memory (KiB): 643196
Ticks: 41015387, Used Memory (KiB): 634256
Ticks: 38806579, Used Memory (KiB): 645380
Ticks: 40141301, Used Memory (KiB): 646192
Ticks: 37842887, Used Memory (KiB): 656704
Ticks: 37048849, Used Memory (KiB): 649116
Ticks: 39216291, Used Memory (KiB): 640516
Ticks: 41258441, Used Memory (KiB): 645348
Ticks: 39804662, Used Memory (KiB): 643728
Ticks: 40544471, Used Memory (KiB): 650856
Ticks: 39804753, Used Memory (KiB): 650240
Ticks: 40383159, Used Memory (KiB): 657460
Ticks: 40686478, Used Memory (KiB): 646792
Ticks: 40309075, Used Memory (KiB): 649556
Ticks: 41546299, Used Memory (KiB): 632348
Ticks: 41193721, Used Memory (KiB): 658564
Ticks: 40936890, Used Memory (KiB): 644352
Ticks: 41436138, Used Memory (KiB): 650344
Ticks: 41045422, Used Memory (KiB): 652172
Ticks: 39624408, Used Memory (KiB): 647184
Ticks: 39770829, Used Memory (KiB): 646124
Ticks: 40404957, Used Memory (KiB): 659560
Ticks: 40254381, Used Memory (KiB): 661564
Ticks: 42145026, Used Memory (KiB): 651100
Ticks: 41334425, Used Memory (KiB): 639964
Ticks: 40795157, Used Memory (KiB): 654956
Ticks: 40738300, Used Memory (KiB): 656124
Ticks: 39182571, Used Memory (KiB): 655056
Ticks: 39466845, Used Memory (KiB): 664592
Ticks: 40287690, Used Memory (KiB): 658052
Ticks: 40178980, Used Memory (KiB): 659568
Ticks: 39937042, Used Memory (KiB): 646652
