Ticks: 66861320, Used Memory (KiB): 637184
Ticks: 75882153, Used Memory (KiB): 636936
Ticks: 67074204, Used Memory (KiB): 634232
Ticks: 66450621, Used Memory (KiB): 642588
Ticks: 64779567, Used Memory (KiB): 647872
Ticks: 80249875, Used Memory (KiB): 642292
Ticks: 65243438, Used Memory (KiB): 640316
Ticks: 65300758, Used Memory (KiB): 628896
Ticks: 65562793, Used Memory (KiB): 632972
Ticks: 65904237, Used Memory (KiB): 635804
Ticks: 65327361, Used Memory (KiB): 637528
Ticks: 65601133, Used Memory (KiB): 637708
Ticks: 81335947, Used Memory (KiB): 636420
Ticks: 65555074, Used Memory (KiB): 635632
Ticks: 64437632, Used Memory (KiB): 632572
Ticks: 66801883, Used Memory (KiB): 630528
Ticks: 97792063, Used Memory (KiB): 641364
Ticks: 65314896, Used Memory (KiB): 653440
Ticks: 75405244, Used Memory (KiB): 629648
Ticks: 66560743, Used Memory (KiB): 637644
Ticks: 64478371, Used Memory (KiB): 631816
Ticks: 65808847, Used Memory (KiB): 636028
Ticks: 77993324, Used Memory (KiB): 636684
Ticks: 65595463, Used Memory (KiB): 641828
Ticks: 65492573, Used Memory (KiB): 634684
Ticks: 65278213, Used Memory (KiB): 630092
Ticks: 65675491, Used Memory (KiB): 624056
Ticks: 65248704, Used Memory (KiB): 636564
Ticks: 64917634, Used Memory (KiB): 635928
Ticks: 65623985, Used Memory (KiB): 637168
Ticks: 65249868, Used Memory (KiB): 636336
Ticks: 64686507, Used Memory (KiB): 638384
Ticks: 81526299, Used Memory (KiB): 632112
Ticks: 80866768, Used Memory (KiB): 638940
Ticks: 76762891, Used Memory (KiB): 640312
Ticks: 65745499, Used Memory (KiB): 631044
Ticks: 63946832, Used Memory (KiB): 625064
Ticks: 65027834, Used Memory (KiB): 636200
Ticks: 65573433, Used Memory (KiB): 640316
Ticks: 65236576, Used Memory (KiB): 635352
