Ticks: 81764514, Used Memory (KiB): 649768
Ticks: 108755039, Used Memory (KiB): 650992
Ticks: 80337044, Used Memory (KiB): 654388
Ticks: 80287158, Used Memory (KiB): 646760
Ticks: 81030661, Used Memory (KiB): 640552
Ticks: 95381495, Used Memory (KiB): 658288
Ticks: 93168128, Used Memory (KiB): 646856
Ticks: 80326640, Used Memory (KiB): 643716
Ticks: 80870054, Used Memory (KiB): 647792
Ticks: 81094475, Used Memory (KiB): 640752
Ticks: 80515629, Used Memory (KiB): 645096
Ticks: 81422276, Used Memory (KiB): 648076
Ticks: 80582183, Used Memory (KiB): 633616
Ticks: 80772410, Used Memory (KiB): 643804
Ticks: 78077513, Used Memory (KiB): 642136
Ticks: 80352748, Used Memory (KiB): 654612
Ticks: 81277808, Used Memory (KiB): 659952
Ticks: 80206442, Used Memory (KiB): 642824
Ticks: 95226594, Used Memory (KiB): 652312
Ticks: 81316177, Used Memory (KiB): 658548
Ticks: 80019950, Used Memory (KiB): 660700
Ticks: 120740956, Used Memory (KiB): 639292
Ticks: 77694738, Used Memory (KiB): 652928
Ticks: 93611319, Used Memory (KiB): 649424
Ticks: 86894067, Used Memory (KiB): 641924
Ticks: 81411149, Used Memory (KiB): 635720
Ticks: 80542598, Used Memory (KiB): 653356
Ticks: 86176166, Used Memory (KiB): 644936
Ticks: 81803464, Used Memory (KiB): 644328
Ticks: 123914133, Used Memory (KiB): 636252
Ticks: 81522445, Used Memory (KiB): 646364
Ticks: 93766966, Used Memory (KiB): 650744
Ticks: 79863963, Used Memory (KiB): 639404
Ticks: 79794105, Used Memory (KiB): 646680
Ticks: 80675688, Used Memory (KiB): 647492
Ticks: 82349988, Used Memory (KiB): 649732
Ticks: 80071280, Used Memory (KiB): 642652
Ticks: 81248762, Used Memory (KiB): 644160
Ticks: 78279585, Used Memory (KiB): 638648
Ticks: 91217085, Used Memory (KiB): 644528
