Ticks: 41708972, Used Memory (KiB): 635540
Ticks: 41438715, Used Memory (KiB): 643216
Ticks: 41853140, Used Memory (KiB): 637292
Ticks: 40665198, Used Memory (KiB): 656732
Ticks: 41333359, Used Memory (KiB): 661168
Ticks: 41532280, Used Memory (KiB): 657832
Ticks: 42615234, Used Memory (KiB): 642532
Ticks: 39932933, Used Memory (KiB): 642232
Ticks: 42081793, Used Memory (KiB): 645428
Ticks: 39851591, Used Memory (KiB): 641812
Ticks: 55551171, Used Memory (KiB): 654172
Ticks: 40591495, Used Memory (KiB): 643684
Ticks: 41492025, Used Memory (KiB): 643468
Ticks: 53840067, Used Memory (KiB): 653664
Ticks: 39706175, Used Memory (KiB): 646620
Ticks: 41121686, Used Memory (KiB): 657092
Ticks: 40836954, Used Memory (KiB): 651392
Ticks: 43358086, Used Memory (KiB): 651292
Ticks: 43330032, Used Memory (KiB): 629048
Ticks: 43926267, Used Memory (KiB): 649936
Ticks: 43450320, Used Memory (KiB): 652688
Ticks: 44057909, Used Memory (KiB): 645044
Ticks: 44357202, Used Memory (KiB): 648300
Ticks: 44308519, Used Memory (KiB): 651804
Ticks: 54720169, Used Memory (KiB): 661588
Ticks: 62355461, Used Memory (KiB): 654920
Ticks: 40283823, Used Memory (KiB): 652812
Ticks: 39716170, Used Memory (KiB): 658148
Ticks: 43922047, Used Memory (KiB): 645052
Ticks: 44668365, Used Memory (KiB): 654224
Ticks: 43440157, Used Memory (KiB): 649452
Ticks: 39943423, Used Memory (KiB): 659884
Ticks: 43870582, Used Memory (KiB): 642824
Ticks: 42585155, Used Memory (KiB): 643288
Ticks: 42832405, Used Memory (KiB): 657164
Ticks: 39817047, Used Memory (KiB): 652660
Ticks: 42136245, Used Memory (KiB): 653164
Ticks: 55900628, Used Memory (KiB): 653292
Ticks: 59594937, Used Memory (KiB): 658040
Ticks: 42121491, Used Memory (KiB): 655088
