Ticks: 44208673, Used Memory (KiB): 387536
Ticks: 34841473, Used Memory (KiB): 391760
Ticks: 37831610, Used Memory (KiB): 397680
Ticks: 18176856, Used Memory (KiB): 384640
Ticks: 20139848, Used Memory (KiB): 383832
Ticks: 23624484, Used Memory (KiB): 390084
Ticks: 21615085, Used Memory (KiB): 390412
Ticks: 23454154, Used Memory (KiB): 388532
Ticks: 19479730, Used Memory (KiB): 388676
Ticks: 21643139, Used Memory (KiB): 381556
Ticks: 33793991, Used Memory (KiB): 394192
Ticks: 20314827, Used Memory (KiB): 383572
Ticks: 21682724, Used Memory (KiB): 386212
Ticks: 18599052, Used Memory (KiB): 388896
Ticks: 35352663, Used Memory (KiB): 398616
Ticks: 21607774, Used Memory (KiB): 490156
Ticks: 38793537, Used Memory (KiB): 390800
Ticks: 18605313, Used Memory (KiB): 387664
Ticks: 18532505, Used Memory (KiB): 384704
Ticks: 34277903, Used Memory (KiB): 387572
Ticks: 42311659, Used Memory (KiB): 390328
Ticks: 19176535, Used Memory (KiB): 391336
Ticks: 31721242, Used Memory (KiB): 395080
Ticks: 19104320, Used Memory (KiB): 392572
Ticks: 18935055, Used Memory (KiB): 381620
Ticks: 19755668, Used Memory (KiB): 378276
Ticks: 20741965, Used Memory (KiB): 383692
Ticks: 21100873, Used Memory (KiB): 389376
Ticks: 37237622, Used Memory (KiB): 396448
Ticks: 20795853, Used Memory (KiB): 387060
